Rekommendationer||
ID|Kategori (REK/OBS)|till webcert: Rekommenderade åtgärder(REK)/Tänk på att (OBS)
1|OBS|Diskutera socialt belastande och/eller arbetsrelaterade stressfaktorer och hur patienten kan bli avlastad dessa
2|OBS|Stimulera återhämtningssystemet med vila och träning
3|OBS|Patientriktad information om diagnosen och behandlingsmöjligheter finns via 1177 Vårdguiden
4|OBS|Eventuellt förmedla kontakt med andra i samma situation
5|OBS|Kvinnor och män med likartade arbetsvillkor drabbas av utmattningssyndrom i lika hög grad
6|OBS|Existentiell smärta tolkas ofta som somatisk hos män och psykiatrisk hos kvinnor
7|OBS|Informera om egenbehandling, exempelvis mindfulness-övningar via 1177 Vårdguiden
8|OBS|Forskning visar att de patienter som kan byta både arbetsplats och yrke återhämtar sig bäst
9|REK|Arbetsanpassning, arbetsplatsbesök och arbetsplatsträning, via arbetsgivare och ev. företagshälsovård
10|REK|Rehabsamordning och plan för återgång i arbete, i samverkan med närstående, vårdgivare, arbetsgivare och Försäkringskassan
11|REK|Multimodal rehabilitering, via vårdgivare eller företagshälsovård alt. annan specialistmottagning
12|REK|Psykoterapi och/eller psykosocial behandling för att understödja livsstilsförändringar och stresshantering
13|OBS|Kartlägga potentiella stressfaktorer och hur patienten kan bli avlastad
14|OBS|Stötta patienten i att identifiera och använda egna hälsofrämjande åtgärder för att hantera stress
15|OBS|Överväg bakomliggande ångestsjukdom eller depression
16|OBS|Uppmuntra till fortsatt sysselsättning och om aktuellt kontakt med arbetsgivare och arbetskamrater
17|OBS|Alltid beakta suicidal risk
18|REK|FaR med 30-45 min konditions- och styrketräning 2-3 ggr/vecka
19|REK|Psykoedukation för avdramatisering och stresshantering, via vårdgivare och ev. specialistmottagning
20|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård 
21|REK|Psykoterapi i grupp, via specialistmottagning
22|REK|Arbetsanpassning inkl. stöd till arbetsplatsbesök och successiv återgång via arbetsterapeut
23|REK|Basal kroppskännedom, för träning av avslappning och andning, via fysioterapeut
24|OBS|Fråga om våld, hot och övergrepp
25|OBS|Stress, skadligt substansbruk och sömnbrist ökar risken för återinsjuknande
26|OBS|Kartlägga grad av depression med hjälp av självskattning i ett frågeformulär
27|OBS|God effekt av psykoterapi kan ske redan inom fyra veckor, men mer sannolikt efter minst åtta veckor beroende på grad
28|OBS|Uppmuntra till fortsatt sysselsättning och om aktuellt kontakt med arbetsgivare och arbetskamrater
29|OBS|Utreda samsjuklighet, inklusive alkohol- och droganamnes
30|REK|Utredning enligt DSM IV-kriterier via psykiatrisk klinik
31|REK|KBT (kognitiv beteendeterapi), ex. Acceptance and Commitment Therapy (ACT)
32|REK|Psykoterapi: KBT, Acceptance and Commitment Therapy (ACT), interpersonell psykoterapi (IPT), psykodynamisk korttidsterapi (ISTDP)
33|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
34|REK|FaR med konditionsträning-3-7 ggr/vecka och styrketräning 2-3 ggr/vecka
35|REK|Behandling med rTMS (repetitiv transkraniell magnetstimulering)
36|REK|Internetbaserad KBT, via 1177 Stöd och behandling
37|OBS|Överväga bakomliggande sjukdomar och personlighetsstörning
38|OBS|Beakta barns behov av information, råd och stöd, enligt barnperspektivet
39|OBS|Utreda samsjuklighet, inklusive alkohol- och droganamnes
40|OBS|Heltidssjukskrivning kan försämra tillståndet, särskilt om problemet är kopplat till påfrestningar i privatlivet
41|REK|Rehabsamordning och plan för återgång i arbete, i samverkan med närstående, vårdgivare, arbetsgivare och Försäkringskassan
42|REK|Vid tidigare god effekt: återinsatt läkemedelsbehandling
43|REK|Psykosocial behandling: stödjande samtal, motiverande samtal eller psykopedagogisk behandling
44|REK|Funktionsträning och strukturstödjande insatser samt kognitiva hjälpmedel, via arbetsterapeut
45|REK|KBT eller mindfulness-baserad kognitiv terapi för att förebygga återfall
46|OBS|En gradvis återgång i arbete kan underlätta, trots en risk för initialt ökat ångestpåslag
47|OBS|Erbjuda en strukturerad första bedömning
48|OBS|Förmedla kontakt med patientföreningar
49|OBS|Undvika bensodiazepiner, pga. stor risk för tolerans- och beroendeutveckling
50|OBS|Ge generella råd för att minska ångest och informera om mindfullness-övningar via 1177 Vårdguiden
51|REK|KBT (kognitiv beteendeterapi) med traumaexponering, mindfulnessbaserad kognitiv terapi eller ACT(Acceptance and Commitment Therapy)
52|REK|FaR med konditionsträning 3-5 ggr/vecka, via fysioterapeut
53|REK|Arbetsanpassning med omfördelning av arbetsuppgifter, via arbetsgivare och ev. företagshälsovård
54|REK|Vid social fobi: Internetbaserad KBT via 1177 Stöd och behandling
55|REK|SSRI-läkemedel enligt Läkemedelverkets rekommendation
56|OBS|Utreda samsjuklighet inklusive alkohol- och droganamnes
57|OBS|Diskutera eventuell samverkan med socialtjänsten eller andra myndigheter för att stabilisera livssituationen
58|OBS|Personer med dolda funktionsnedsättningar kan uppleva sin position i arbetslivet som både utsatt och osäker
59|OBS|Kartlägga behov av mer omfattande psykosocial behandling
60|OBS|Patient- och närståendeutbildning är ett värdefullt komplement till annan behandling
61|OBS|Arbeten som medför förhöjd stressnivå, oregelbunden livsföring och som stör normal dygnsrytm är olämpliga
62|OBS|Patientriktad information om diagnosen och behandlingsmöjligheter finns via 1177 Vårdguiden
63|REK|Patient- och närståendeutbildning, via vårdgivare eller specialistmottagning
64|REK|Rehabsamordning och plan för återgång i arbete, i samverkan med närstående, vårdgivare, arbetsgivare och Försäkringskassan
65|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
66|REK|Psykosocial behandling: stödjande samtal, motiverande samtal eller psykopedagogisk behandling
67|REK|Psykoterapi: KBT, Acceptance and Commitment Therapy (ACT), familjefokuserad terapi (FFT), interpersonell och social rytmterapi (IPSRT)
68|OBS|Avråda från arbete ovan axelplanet
69|OBS|Instruera om t.ex. armpendling, skulderstretchning, dörrlutning och dörrkarmspress
70|OBS|Multimodal rehabilitering kan vara en samlad väg tillbaka och minska risken för kronisk smärta
71|OBS|Överväga arbetsbyte tidigt då problem kan kvarstå under lång tid
72|REK|Multimodal rehabilitering, via vårdgivare eller företagshälsovård alt. annan specialistmottagning
73|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och ev. företagshälsovård
74|REK|Arbetsanpassning med omfördelning av arbetsuppgifter, via arbetsgivare och ev. företagshälsovård
75|REK|Fysioterapi för träning av rörlighet, styrka och koordination som kan förbättra funktion
76|REK|Kiropraktik eller fysioterapi för att behandla triggerpunkter i muskulatur
77|OBS|Personer med pisksnärtskada kan ha symtom liknande utmattningstillstånd
78|OBS|Utreda hur smärtan och rörelseinskränkningen begränsar patientens förmåga att klara just sina arbetsuppgifter
79|OBS|Kartlägg resurser för att motverka utveckling av kronisk smärta och medikalisering
80|OBS|Efter olycka: Posttraumatiskt stressyndrom (PTSD) drabbar 25 % av patienter med kvarvarande smärta
81|OBS|Smärtan kan förvärras av stress p.g.a. arbetsmiljö eller hemsituation
82|OBS|Patientriktad information om diagnosen och behandlingsmöjligheter finns via 1177 Vårdguiden
83|OBS|Multiprofessionell rehabilitering kan vara en samlad väg tillbaka och minska risken för kronisk smärta
84|REK|FaR med smärtlindring, rådgivning och träningsprogram, via fysioterapeut
85|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och ev. företagshälsovård
86|REK|Multimodal rehabilitering, via vårdgivare eller företagshälsovård alt. annan specialistmottagning
87|REK|KBT (kognitiv beteendeterapi), via vårdgivare eller företagshälsovård
88|OBS|Utreda arbetsrelaterade och/eller socialt belastande stressfaktorer
89|OBS|Utreda hur smärtan och rörelseinskränkningen begränsar patientens förmåga att klara just sina arbetsuppgifter
90|OBS|Förebyggande sjukpenning för fysioterapi kan vara ett lämpligt alternativ till sjukskrivning
91|OBS|Alltför tunga, framåtböjda och vridna lyft kan förvärra smärtan
92|OBS|Uppmuntra till fortsatt arbete och lagom belastning då det i allmänhet inte är farligt att arbeta trots att det gör ont
93|OBS|Uppmuntra till fortsatt arbete och lagom belastning då det i allmänhet inte är farligt att arbeta trots att det gör ont
94|OBS|Uppmuntra till fortsatt arbete och lagom belastning då det i allmänhet inte är farligt att arbeta trots att det gör ont
95|OBS|Informera om mindfulness-övningar och kognitiv beteende terapi via 1177 Vårdguiden
96|REK|FaR med smärtlindring, rådgivning och träningsprogram, via fysioterapeut
97|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård
98|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
99|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
100|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
101|OBS|Diskutera bakomliggande faktorer som exempelvis övervikt, rökning, arbetsmiljö och livssituation
102|OBS|Smärtstillande läkemedel, sensorisk stimulering och/eller KBT kan hjälpa en inaktiv och rörelserädd patient
103|REK|Rökstopp exempelvis genom sluta-röka-programmet Rökfri, via 1177 Vårdguiden
104|REK|Vid övervikt: Osteoporosutredningen eller kostrådgivning, via dietist eller utbildad sjukvårdspersonal
105|REK|Kartläggning av arbetsplatsförhållanden och livssituation, via företagshälsovård
106|REK|Multimodal rehabilitering för smärthantering, via vårdgivare eller företagshälsovård alt. annan specialistmottagning
107|OBS|Akuta besvär kan återkomma utan direkt samband med fysiska påfrestningar
108|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och ev. företagshälsovård
109|OBS|Smärtan kan förvärras av stress p.g.a. arbetsmiljö eller hemsituation
110|OBS|Träning av lår- och benmuskulatur minskar risken för "droppfot" och ytterligare besvär.
111|REK|FaR med smärtlindring, rådgivning och träningsprogram, via fysioterapeut
112|OBS|Det saknas vetenskapliga bevis för att TNS (transkutan nervstimulering), ultraljud, akupunktur, värme eller laserterapi skulle ha effekt
113|REK|Manuell terapi för smärtlindring via naprapat, kiropraktor eller fysioterapeut
114|OBS|Utreda patientens arbetsuppgifter då besvären ofta är förknippade med fysikaliska riskfaktorer på arbetsplatsen
115|OBS|Uppmuntra till fortsatt arbete och lagom belastning då det i allmänhet inte är farligt att arbeta trots att det gör ont
116|OBS|Längre tids stillasittande medför att mellankotsskivorna i ländryggen trycks ihop och att näringstillförseln störs
117|OBS|Uppmuntra patienten att undvika att vila i sängen och att så snart som möjligt komma upp och röra på sig
118|OBS|Göra patienten medveten om vikten av lämplig regelbunden träning
119|OBS|Det hittills inte finns några inga bevis på att massage, akupunktur, tens, korsett, kyla, värme, kortvågsdiatermi eller ultraljud hjälper vid tillfällig ryggvärk
120|OBS|Kartlägga motionsvanor och möjliga lösningar för avlastning (käpp, ortos, viktnedgång)
121|OBS|Uppmuntra till låga doser träning under lång tid eftersom patienter med generaliserad artros vanligen reagerar negativt på alltför kraftig träning
122|OBS|Förebyggande sjukpenning för fysioterapi kan vara ett lämpligt alternativ till sjukskrivning
123|OBS|Kartlägga kost- och motionsvanor - för inaktiva gör redan fem minuters träning om dagen skillnad
124|OBS|Tidigt initiera en fysioterapeutisk bedömning för att utesluta muskulära rörelseinskränkningar
125|OBS|Informera om vikten av konservativ behandling och att en genomsnittlig protes endast håller ett begränsat antal år
126|REK|FaR med konditions-, styrke- eller funktionell träning (2-3 ggr/vecka), via artrosskola eller fysioterapeut
127|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård
128|OBS|Om det inte går att anpassa arbetsuppgifterna bör byte av arbete övervägas tidigt
129|OBS|Om det inte går att anpassa arbetsuppgifterna bör byte av arbete övervägas tidigt
130|OBS|Symptomen tyder ofta på tidigt utvecklad knäartros
131|OBS|Uppmuntra till viktnedgång även vid måttlig övervikt
132|REK|Kostrådgivning, via dietist eller utbildad sjukvårdspersonal
133|OBS|Ultraljudsbehandling inte har någon visad effekt
134|OBS|Patientriktad information om diagnosen och behandlingsmöjligheter finns via 1177 Vårdguiden
135|OBS|Patientriktad information om diagnosen och behandlingsmöjligheter finns via 1177 Vårdguiden
136|REK|Smärtstillande eller NSAID-läkemedel, exempelvis kortisoninjektion
137|REK|Fysioterapi för ändring av belastningsmönster
138|OBS|Tidigt utreda ändrat belastningsmönster
139|REK|Efter operation: Fysioterapi för träningsprogram med fokus på successivt ökad belastning
140|OBS|För inaktiva gör redan fem minuters träning om dagen skillnad
141|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller omplacering, via arbetsgivare och ev. företagshälsovård
142|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och ev. företagshälsovård
143|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller omplacering, via arbetsgivare och ev. företagshälsovård
144|OBS|Avråda från vibrerande verktyg, ensidig tung handbelastning samt repetitiva arbetsuppgifter
145|OBS|Utreda hur smärtan och rörelseinskränkningen begränsar patientens förmåga att klara just sina arbetsuppgifter
146|OBS|Överväga tumbasartros eller reumatisk ledsjukdom vid långdragna besvär eller inflammationer på annat ställe
147|OBS|Informera om hyperestesiträning av ömmande ärr efter operation
148|REK|Utprovning av tumbasortos och/eller handledsskena, via arbetsterapeut
149|REK|FaR med rådgivning och träningsprogram, via fysioterapeut
150|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård
151|REK|Arbetsanpassning med omfördelning av arbetsuppgifter, via arbetsgivare och ev. företagshälsovård
152|OBS|Byte av yrke eller arbetsplats kan vara alternativ på sikt
153|OBS|Repetitiva sträck- och vridrörelser i handledens sträckmuskulatur och vid musklernas ursprung leder till degenerativa skador
154|OBS|Diskutera arbets- eller fritidsaktivitet som eventuellt utlöst tillståndet
155|OBS|Självläkningspotentialen är stor och nära 90 % kan beräknas bli besvärsfria inom 1 år
156|OBS|Överväga deltidssjukskrivning under en begränsad tidsperiod, ev. med stöd av hjälpmedel
157|REK|FaR med smärtlindring, rådgivning och träningsprogram, via fysioterapeut
158|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
159|REK|Utprovning av epikondylitbandage eller handledsstöd, via arbetsterapeut eller fysioterapeut
160|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och ev. företagshälsovård
161|OBS|Isolerade ulnafrakturer kan vara parerskador och tecken på våld i nära relation, vilket ska utredas
162|OBS|Alkoholkonsumtion försvårar läkningen
163|OBS|Utreda hur rörelseinskränkningen begränsar patientens förmåga att arbeta och vad patienten kan utföra även under pågående gipsbehandling
164|OBS|Längd på sjukskrivning beror på om fraktur är belägen på dominant eller icke-dominant sida.
165|OBS|Instruera om vikten av handen i högläge och omedelbar rörlighetsträning för cirkulation
166|REK|Efter adekvat frakturbehandling: Fysioterapi eller arbetsterapi för mobilisering genom rörlighetsträning och ödemprofylax
167|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
168|REK|Osteoporosutredningen eller kostrådgivning, via dietist eller utbildad sjukvårdspersonal
169|OBS|Informera om rök-, kost- och alkoholvanor i syfte att förebygga benbrott, via 1177 Vårdguiden
170|OBS|Instruera om högläge samt rörlighetsträning för att förebygga stelhet efter avgipsning samt andra ev. komplikationer
171|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och företagshälsovård
172|REK|Fysioterapi eller arbetsterapi för mobilisering genom rörlighetsträning och ödemprofylax
173|REK|Vid risk för karpaltunnelsyndrom: ergonomisk arbetsplatsbedömning, via arbetsgivare och ev. företagshälsovård
174|REK|Utprovning av hjälpmedel inkl. stödskena, via arbetsterapeut eller fysioterapeut
175|OBS|Funktionsnedsättning kan kvarstå, och pseudoartros kan uppstå, efter gipsbehandling
176|OBS|Utreda patientens arbetsuppgifter; vissa arbeten kan utföras även under pågående gipsbehandling
177|REK|Fysioterapi eller arbetsterapi med rörlighetsträning och ödemprofylax (särskilt viktigt vid fraktur på os scaphoideum)
178|REK|Fysisk aktivitet med rörlighetsträning och ödemprofylax, via tex. FaR eller fysioterapeut 
179|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
180|OBS|Informera arbetsgivare och Försäkringskassan om det är möjligt att återgå i arbete med hjälp av arbetsresor
181|OBS|Utreda hur rörelseinskränkningen begränsar patientens förmåga att arbeta och vad patienten kan utföra även under pågående gipsbehandling
182|REK|Arbetsresor, via arbetsgivare (dag 1-14) och Försäkringskassan (från dag 15)
183|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller omplacering, via arbetsgivare och ev. företagshälsovård
184|REK|FaR med individuellt utprovat träningsprogram för funktions- och aktivitetsträning, via fysioterapeut
185|REK|Tillhandahållande av gånghjälpmedel, via företagshälsovård eller arbetsterapeut
186|OBS|Skadan ofta kan innebära en ofrivilligt avbruten idrottskarriär
187|OBS|Fysisk aktivitet ger smärtlindring och bättre funktion vid tidig knäartros
188|OBS|Uppmuntra till fysisk aktivitet för smärtlindring, bättre funktion, ökad knästabilitet samt för att motverka ev. reluxation
189|OBS|Patienten med ortos kan belasta och rörelseträna i ortosen
190|OBS|Alltid behandla med fysioterapi innan kirurgi diskuteras
191|REK|FaR med individuellt utprovat träningsprogram för excentrisk styrketräning, via fysioterapeut
192|OBS|Diskutera hur patienten kan upprätthålla struktur och livsbalans genom t.ex. fysisk aktivitet och social samvaro
193|OBS|Återgång till arbete efter stroke är en viktig faktor för livskvaliteten
194|OBS|Uppmärksamma komplikationer, exempelvis depression, kognitiva funktionsnedsättningar och trötthet
195|OBS|Skicka med lättillgänglig information, eftersom dolda kognitiva besvär kan försvåra dialogen med anhöriga
196|OBS|Uppmuntra till bibehållen kontakt med arbetsgivare och arbetskamrater
197|REK|Arbetsanpassning, arbetsplatsbesök och arbetsträning, via arbetsgivare och ev. företagshälsovård
198|REK|ADL träning och utprovning av hjälpmedel inkl. ortos, via arbetsterapeut
199|REK|CI-terapi (Constraint Induced Movement Therapy), för träning av arm- och handfunktionen, via specialistmottagning
200|REK|Fysioterapi med långvarig regelbunden handledd konditions-, styrke- och funktionsträning
201|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård
202|REK|Rehabsamordning och plan för återgång i arbete, i samverkan med närstående, vårdgivare, arbetsgivare och Försäkringskassan
203|REK|Psykosocial behandling: stödjande samtal, motiverande samtal eller psykopedagogisk behandling
204|REK|Psykoterapi: KBT, interpersonell psykoterapi (IPT), psykodynamisk korttidsterapi (ISTDP)
205|REK|Utredning av körförmåga, via körskola eller motsvarande
206|OBS|Kartlägga bakomliggande orsaker såsom sömn, bett, ångest och arbetsmiljö
207|OBS|Instruera patienten om hur utlösande faktorer kan undvikas
208|OBS|Utreda möjligheten till återgång i arbete med hjälp av arbetsplatsaktiviteter och arbetsanpassning 
209|REK|Arbetsanpassning med omfördelning av arbetsuppgifter eller byte av arbetsställe, via arbetsgivare och ev. företagshälsovård
210|REK|Fysioterapi eller psykoterapi med hantering av t.ex. stress, emotionell spänning eller sömnbrist
211|REK|Bettfysiologisk utredning via ÖHN eller tandläkare
212|OBS|En huvudvärksdagbok kan hjälpa patienten att registrera besvär samt effekt av läkemedelsanvändning
213|OBS|Utreda samsjuklighet med utmattningssyndrom, ångest eller depression
214|REK|Arbetsterapi för ADL träning enligt ReDO-metodiken
215|REK|Psykosocial behandling: stödjande samtal, motiverande samtal eller psykopedagogisk behandling
