Diagnoskoder kopplade till rekommendationer (ID), samt kategori och prioritering|||
ICD10SE|ID|Kategori|PRIO 1
F31|56|OBS|1
F31|57|OBS|2
F31|58|OBS|3
F31|63|REK|1
F31|64|REK|2
F31|65|REK|3
F32|24|OBS|1
F32|25|OBS|2
F32|28|OBS|3
F32|34|REK|1
F32|31|REK|2
F32|33|REK|3
F33|37|OBS|1
F33|38|OBS|2
F33|28|OBS|3
F33|41|REK|1
F33|34|REK|2
F33|44|REK|3
F41|40|OBS|1
F41|46|OBS|2
F41|48|OBS|3
F41|51|REK|1
F41|52|REK|2
F41|53|REK|3
F43|14|OBS|1
F43|15|OBS|2
F43|16|OBS|3
F43|18|REK|1
F43|19|REK|2
F43|20|REK|3
F438|2|OBS|1
F438|1|OBS|2
F438|16|OBS|3
F438|10|REK|1
F438|9|REK|2
F438|11|REK|3
F438A|2|OBS|1
F438A|1|OBS|2
F438A|7|OBS|3
F438A|10|REK|1
F438A|9|REK|2
F438A|11|REK|3
G56|144|OBS|1
G56|145|OBS|2
G56|146|OBS|3
G56|149|REK|1
G56|150|REK|2
G56|148|REK|3
I63|194|OBS|1
I63|192|OBS|2
I63|196|OBS|3
I63|202|REK|1
I63|205|REK|2
I63|199|REK|3
M16|122|OBS|1
M16|123|OBS|2
M16|124|OBS|3
M16|126|REK|1
M16|132|REK|2
M16|141|REK|3
M17|122|OBS|1
M17|123|OBS|2
M17|125|OBS|3
M17|126|REK|1
M17|142|REK|2
M17|143|REK|3
M19|122|OBS|1
M19|131|OBS|2
M19|140|OBS|3
M19|126|REK|1
M19|142|REK|2
M19|143|REK|3
M23|122|OBS|1
M23|130|OBS|2
M23|140|OBS|3
M23|126|REK|1
M23|142|REK|2
M23|143|REK|3
M51|114|OBS|1
M51|115|OBS|2
M51|116|OBS|3
M51|84|REK|1
M51|108|REK|2
M51|100|REK|3
M53|77|OBS|1
M53|81|OBS|2
M53|78|OBS|3
M53|84|REK|1
M53|86|REK|2
M53|85|REK|3
M54|90|OBS|1
M54|101|OBS|2
M54|92|OBS|3
M54|103|REK|1
M54|96|REK|2
M54|97|REK|3
M542|90|OBS|1
M542|88|OBS|2
M542|89|OBS|3
M542|84|REK|1
M542|87|REK|2
M542|85|REK|3
M544|90|OBS|1
M544|94|OBS|2
M544|109|OBS|3
M544|111|REK|1
M544|106|REK|2
M544|100|REK|3
M545|90|OBS|1
M545|101|OBS|2
M545|93|OBS|3
M545|103|REK|1
M545|108|REK|2
M545|99|REK|3
M75|68|OBS|1
M75|69|OBS|2
M75|70|OBS|3
M75|72|REK|1
M75|73|REK|2
M75|74|REK|3
M77|154|OBS|1
M77|153|OBS|2
M77|156|OBS|3
M77|157|REK|1
M77|160|REK|2
M77|158|REK|3
M79|223|OBS|1
M79|226|OBS|2
M79|221|OBS|3
M79|231|REK|1
M79|232|REK|2
M79|230|REK|3
M791|223|OBS|1
M791|225|OBS|2
M791|221|OBS|3
M791|231|REK|1
M791|232|REK|2
M791|233|REK|3
M797|220|OBS|1
M797|221|OBS|2
M797|222|OBS|3
M797|228|REK|1
M797|229|REK|2
M797|230|REK|3
R52|223|OBS|1
R52|226|OBS|2
R52|221|OBS|3
R52|231|REK|1
R52|232|REK|2
R52|230|REK|3
R53|235|OBS|1
R53|236|OBS|2
R53|237|OBS|3
R53|238|REK|1
R53|239|REK|2
R53|209|REK|3
S52|161|OBS|1
S52|162|OBS|2
S52|163|OBS|3
S52|167|REK|1
S52|166|REK|2
S52|168|REK|3
S62|170|OBS|1
S62|162|OBS|2
S62|163|OBS|3
S62|171|REK|1
S62|177|REK|2
S62|173|REK|3
S82|162|OBS|1
S82|180|OBS|2
S82|181|OBS|3
S82|182|REK|1
S82|184|REK|2
S82|183|REK|3
S83|188|OBS|1
S83|180|OBS|2
S83|189|OBS|3
S83|182|REK|1
S83|191|REK|2
S83|183|REK|3
