Åtgärdsförslag (formuleringen är under revidering och uppdatering),,,,
RÅD-id,Kategori (REK/OBS),rekommenderade åtgärder(REK)/Tänk på att (OBS),Åtgärd/åtgärder i intyget,Bedömning i intyget
1,OBS,Kartlägga potentiella stressfaktorer och hur patienten kan bli <b>avlastad</b> ,,
2,OBS,Kartlägga <b>sömnstörningar</b> och motionsvanor,,
3,OBS,Skicka med lättillgänglig information om diagnosen och behandlingsmöjligheter,,
4,OBS,Eventuellt förmedla kontakt med andra i samma situation,,
5,OBS,Kvinnor och män med likartade arbetsvillkor drabbas av utmattningssyndrom i lika hög grad,,
6,OBS,"Utreda eventuell depression, eftersom män ofta felaktigt ges en somatisk diagnos",,
7,OBS,"Utreda samsjuklighet, eftersom kvinnor ofta felaktigt får en psykiatrisk diagnos",,
8,OBS,Informera om mindfulness -övningar via 1177 Vårdguiden,,
9,OBS,Byte av yrke eller arbetsplats kan vara alternativ,,
10,REK,"Arbetsanpassning och stöd till arbetsplatsbesök samt arbetsplatsträning, via arbetsgivare och ev. företagshälsovård","Arbetsanpassning, Arbetsträning, Besök på arbetsplatsen, Kontakt med företagshälsovård",
12,REK,Vid akut fas: Heltids- eller deltidssjukskrivning]i upp till 6 månader,,
13,REK,Psykoterapi eller psykosocial behandling ,,
14,OBS,Kartlägga potentiella stressfaktorer och hur patienten kan bli avlastad,,
15,OBS,Informera om kortvarig stress i syfte att undvika medikalisering och sjukskrivning,,
16,OBS,Stötta patientens egna åtgärder för att hantera stress,,
17,OBS,Alltid beakta suicidal risk,,
18,REK,FaR för minst 30 minuters motion per dag,,
19,REK,Psykoterapi för att understödja livsstilsförändringar och stresshantering,,
20,REK,Kroppsmedvetandeträning för att lära sig hantera kroppens varningssignaler,,
21,REK,Arbetsanpassning och stöd till successiv återgång via arbetsterapeut,,
22,REK,"Fysioterapi för träning av kroppsmedvetenhet, avslappning och andning",,
23,OBS,"Kartlägga grad av depression med hjälp av ICD 10, DSM IV och självskattningsschema",,
24,OBS,"Full effekt av psykoterapi kan ske redan inom fyra veckor, men mest sannolikt efter minst åtta veckor beroende på grad",,
25,OBS,Undvika sjukskrivning vid lindrig förstagångsdepression,,
